order_id,customer_id,customer_name,product_id,product_name,product_category,payment_type,quantity,price,datetime,city,country(state),ecommerce_website_name,payment_txn_id,payment_txn_success,failure_reason
4,13, James Rodriguez,201278,Outback,Subaru,Wallet,5,26945,2/14/2021 11:22,Meridian,Mississippi,Carvana,AO-131956,Hello,
1,9, Chloe Howells,100648,Sierra,GMC,Card,20,37195,09-05-2021 21:49,Oak Ridge,Tennessee,eBay,Fp-325143,Success,
2,12, Eric Kemsley,201278,Outback,Subaru,UPI,12,26945,9/22/2021 21:44,Columbus,Georgia,AutoTrader,CA-768004,Failed,
3,15, Micheal Smith,200787,CR-V,Honda,Card,18,26800,6/15/2021 20:02,North Little Rock,Arkansas,AutoTrader,vK-456543,Y,Payment success
4,16, Dave Hernandez,400562,Wrangler,Jeep,Wallet,13,30295,02-10-2021 02:37,Montgomery,Alabama,AutoTrader,xp-907010,Y,Error
5,8, Justin Thomas,200122,Equinox,Chevrolet,UPI,20,26300,12/15/2021 14:21,Birmingham,Alabama,AutoTrader,rA-886288,Y,7896
6,8, Justin Thomas,200528,Grand Cherokee,Jeep,Internet Banking,16,39000,12-03-2021 15:46,Greensboro,North Carolina,Car Max,fw-681579,Y,done it
7,19, Jordan Brown,201081,Tucson,Hyundai,UPI,18,24950,2/23/2021 23:07,Chattanooga,Tennessee,AutoTrader,Hello,Y,
8,24, Amy Barnes,100145,Silverado,Chevrolet,Wallet,4,34600,12-11-2021 18:31,Greenville,South Carolina,AutoTrader,1236547,Y,
9,21, Louis Way,200482,RAV4,Toyota,Wallet,10,26975,9/28/2021 19:17,Richmond,Virginia,eBay,zxcvbnm,N,Merchant account blocks the transaction
10,14, Kumar Singh,200528,Grand Cherokee,Jeep,Card,5,39000,05-05-2021 13:42,Dulles,Virginia,Carfax,3698521,Y,
11,15, Micheal Smith,300804,Model 3,Tesla,Card,2,46990,07-06-2021 14:46,Winston-Salem,North Carolina,Carfax,%^&*(),Y,
12,10, Max Halloway,300995,Altima,Nissan,UPI,19,24900,8/21/2021 9:52,Lake Charles,Louisiana,eBay,RX-207142,Y,Credit or debit card is canceled
13,25, Karen Smith,200122,Equinox,Chevrolet,Wallet,13,26300,4/21/2021 7:54,North Little Rock,Arkansas,AutoTrader,XJ-682729,Error,The consumers account is suspended or closed 
14,24, Amy Barnes,100494,Highlander,Toyota,UPI,13,35855,11/22/2021 0:35,Louisville,Kentucky,Carfax,Yo-228174,Error,
15,3,Alexander Hopkins,200233,Explorer,Ford,UPI,8,35510,05-02-2021 08:54,Greensboro,North Carolina,AutoTrader,pp-780525,Not an error,
16,6, Alex Poppins,400562,Wrangler,Jeep,UPI,16,30295,6/21/2021 15:32,Dulles,Virginia,AutoTrader,bA-436950,Y,123
17,14, Kumar Singh,201137,CX-5,Mazda,Wallet,15,26250,12-05-2021 21:38,Charlotte,North Carolina,Car Max,SL-251961,Y,156
18,18, Susan Boyle,200528,Grand Cherokee,Jeep,Internet Banking,7,39000,9/17/2021 14:46,Atlanta,Georgia,Carfax,GI-384048,Y,36
19,1, John Smith,201278,Outback,Subaru,UPI,8,26945,10-05-2021 17:36,Columbus,Georgia,eBay,Rj-358634,Y,9985
20,22, Jenny Pickard,400562,Wrangler,Jeep,Internet Banking,6,30295,2/24/2021 19:00,Baton Rouge,Louisiana,AutoTrader,Qj-219793,Y,322
21,5, Brandon Johnson,100379,1500,Ram,Internet Banking,15,33975,12-11-2021 05:03,Fort Smith,Arkansas,eBay,Su-927653,Y,Cancelled
22,3,Alexander Hopkins,300804,Model 3,Tesla,Internet Banking,10,46990,9/28/2021 23:23,Jackson,Kentucky,AutoTrader,YN-324093,Y,Transaction
23,15, Micheal Smith,100145,Chevrolet,Chevrolet,364,13,34600,04-09-2021 13:52,Greensboro,North Carolina,Car Max,SS-806958,Y,MyData
24,1, John Smith,300995,Altima,Nissan,UPI,7,24900,03-12-2021 07:12,Louisville,Kentucky,Carfax,lo-607487,Y,MyStore
25,23, Usamah Khan,200794,HR-V,Honda,Wallet,9,23650,09-05-2021 09:54,Beckley,West Virginia,Carvana,iY-480615,Y,Almost Done
26,8, Justin Thomas,300804,Model 3,Tesla,Card,1,46990,12-06-2021 15:37,Augusta,Georgia,Carvana,jl-372346,Eureka,
27,11, Chris Jones,300786,Civic,Honda,Internet Banking,5,22550,8/13/2021 17:52,West Palm Beach,Florida,Carvana,????___,Y,
28,11, Chris Jones,200967,Rogue,Nissan,Card,19,27150,8/16/2021 16:14,Montgomery,Alabama,Car Max,xB-54po054,Y,
29,4, Rashid Matthews,200787,CR-V,Honda,UPI,10,26800,02-12-2021 16:28,Fort Smith,Arkansas,Car Max,Nx-118397,Y,Hello
30,3,Alexander Hopkins,200967,Rogue,Nissan,Internet Banking,11,27150,9/13/2021 8:42,Charleston,West Virginia,eBay,wf-450662,Y,Kinder
31,16, Dave Hernandez,200787,CR-V,Honda,Wallet,9,26800,1/15/2021 9:23,Fort Myers,Florida,AutoTrader,Kj-224102,Y,Garden
32,16, Dave Hernandez,300451,Corolla,Toyota,Wallet,19,20425,3/20/2021 6:22,Athens,Georgia,AutoTrader,RC-685468,Pore,
33,14, Kumar Singh,200528,Grand Cherokee,Jeep,UPI,9,39000,3/22/2021 4:44,Savannah,Georgia,eBay,Va-265754,Drawer,
34,8, Justin Thomas,200967,Rogue,Nissan,Wallet,14,27150,02-02-2021 02:43,Norfolk,Virginia,AutoTrader,FE-489350,roar,
35,4, Rashid Matthews,200261,Escape,Ford,UPI,15,27185,08-03-2021 02:07,Charleston,West Virginia,eBay,Iw-312406,100,
36,1, John Smith,300995,Altima,Nissan,UPI,17,24900,3/29/2021 4:18,New Orleans,Louisiana,Carvana,Qk-661767,963,
37,15, Micheal Smith,300857,Model Y,Tesla,Internet Banking,18,65990,09-03-2021 14:15,Dulles,Virginia,Carfax,OF-913775,Noun,Incorrect Pin
38,12, Eric Kemsley,100379,1500,Ram,Wallet,12,33975,1/20/2021 3:17,Johnson City,Tennessee,Carfax,sy-414153,bore,
39,12, Eric Kemsley,201137,CX-5,Mazda,Internet Banking,14,26250,06-01-2021 19:19,Mobile,Alabama,Car Max,Jo-203459,chore,
40,25, Karen Smith,200787,CR-V,Honda,Card,8,26800,1/27/2021 23:20,Asheville,North Carolina,Carfax,eo-520823,Y,Merchant account blocks the transaction
41,10, Max Halloway,400562,Wrangler,Jeep,UPI,2,30295,10/20/2021 6:18,Beckley,West Virginia,Carfax,cT-228509,Sour,
