order_id,customer_id,customer_name,product_id,product_name,product_category,payment_type,qty,price,datetime,city,country,ecommerce_website_name,payment_txn_id,payment_txn_success,failure_reason
0,36,Cosima Beltrán,6395368818171,Empire of the Mughal - The Serpent's Tooth,history,3,5,$25.99,2021-05-17 00:58:35,cardiff,England,Costco.com,5a6fada0-31c1-4dd5-a5b0-badca360d282,Y,
1,239,Laura Tanguy,7751591795334,How to Think Like Sherlock Holmes,psychology,2,10,$24.99,2021-02-09 04:39:14,New York,United States,Mcnallyrobinson.com,f382a308-02aa-4cef-ba78-51dfe3088cd8,N,Card declined
2,183,Gabriel Mota,3375248015459,We the People,philosophy,3,8,$27.99,2021-11-22 13:46:11,Porto,Portugal,Wordery.com,5897c1e0-d963-44e5-9e80-601fca0ce0a6,Y,
3,104,Aurélie Castro,4802362382925,Angels & Demons,fiction,1,1,$37.99,2021-11-03 06:44:05,Merida,Mexico,Chapters.indigo.ca,3de8fa97-e5fa-491c-b4f0-99eb6778ae66,Y,
4,175,Zenon Molina,0956180260669,Pattern Classification,data_science,1,5,$33.99,2021-02-15 12:30:10,Monterrey,Mexico,Hive.com,97ba9036-27a8-4079-adfa-f622fa0b53db,N,Card declined
5,241,Piergiorgio Bedoya,1864573258577,Cathedral and the Bazaar,computer_science,3,7,$33.99,2021-12-16 13:31:18,Valencia,Spain,Wordery.com,1a29ff73-2582-4e7f-90f5-53278d385196,N,Failed to connect to server
6,182,Irene Cordero,3852654760482,Age of Discontuinity,economics,2,5,$17.99,2021-03-01 13:54:38,Cancun,Mexico,Hudsonbooksellers.com,367d0770-1d3c-4af4-a34c-d987231db934,Y,
7,379,Édouard Hendriks,5233769606960,Physics & Philosophy,science,1,6,$18.99,2021-10-15 00:07:46,lagos,Nigeria,Abebooks.com,65996df6-bccf-4bcb-a5e6-2a8db06d7651,Y,
8,122,Giampiero Keller,0285332342282,Ropemaker,fiction,2,8,$20.99,2021-05-17 18:58:48,Paris,France,Hive.com,e8161902-59b2-45b4-b072-6519c2d916ac,Y,
9,302,María Raynaud,8961823366709,Empire of the Mughal - The Tainted Throne,history,3,10,$26.99,2021-02-21 09:32:17,Evora,Portugal,Mcnallyrobinson.com,5cf65c11-bd47-48ce-b364-6f06ab10ec2f,Y,
10,212,Julio César Vogel,1877278526469,Empire of the Mughal - Raiders from the North,history,2,2,$28.99,2021-01-01 14:12:24,Tomar,Portugal,Hive.com,ce665f8d-9140-4840-b016-057b9965bd03,Y,
11,81,Vlado Paolini,7970341489266,Computer Vision,data_science,3,4,$34.99,2021-09-05 12:59:34,Ibadan,Nigeria,Daedalus Books,348f6575-09bd-4463-a369-5ddf01f8457a,Y,
12,290,Alina Weber,2129188966446,Maugham's Collected Short Stories,fiction,2,1,$24.99,2021-06-06 05:24:03,Tampico,Mexico,ChronicleBooks.com,40e365f1-6269-4991-bc35-2bb5f0e45000,Y,
13,395,Ludmilla Silva,7457928134813,20000 Leagues Under the Sea,fiction,3,1,$40.99,2021-03-06 08:12:09,Mexico City,Mexico,Daedalus Books,1ec053b1-ef9f-493e-bb7e-918a7dabc7b5,Y,
14,80,Paola Techer,1955013187059,Selected Short Stories,fiction,1,9,$30.99,2021-12-10 16:17:23,Brighton,England,Powellsbooks.com,49ebfb44-d7fc-4d12-a661-f8b1d2dfa0e8,N,Card declined
15,253,María José Faust,9834789784438,India from Midnight to Milennium,history,2,5,$18.99,2021-11-22 08:16:23,San Jose,United States,Daedalus Books,6d1a4c88-f8d6-4777-8a79-691965fa644d,Y,
16,96,Milo Guillaume,6711688222328,Killing Joke,comic,1,2,$30.99,2021-11-22 05:35:05,London,England,Audible.com,ae5cb217-1da0-419b-8021-b177dabde983,Y,
17,205,Armando Valentine,9583000237931,Pointers in C,computer_science,3,7,$16.99,2021-05-03 18:59:04,Bordeaux,France,Ebay.com,874b7dfa-6e91-4fda-b3d0-bf9ba415649d,Y,
18,386,Cristiana Gonzalez,6902816459307,Idiot,fiction,3,9,$17.99,2021-08-26 16:49:51,Nantes,France,Bookoutlet.com,1ab87380-d22a-452c-8e9a-ac10aaae4333,Y,
19,332,Mariana Ozuna,1620766075419,Moon is Down,fiction,2,5,$40.99,2021-04-19 17:37:41,Oxford,England,Mcnallyrobinson.com,53b67186-720d-43f1-8037-3ff1a88277c1,N,Card declined
20,437,Tracey Uribe,6570040494380,Down and Out in Paris & London,nonfiction,2,2,$40.99,2021-01-09 11:36:53,Genoa,Italy,Thriftbooks.com,1eaaa763-11ae-4123-896d-f6e39d49e658,N,Card declined
21,68,Walter Scheibe,1985373576071,Mossad,history,1,9,$16.99,2021-11-14 09:32:18,Tomar,Portugal,Waterstones.com,090a797d-e1a2-4a4a-a4b3-f0059a64cb63,Y,
22,446,Sylvia Meza,2040752275866,Last Lecture,nonfiction,1,5,$28.99,2021-11-27 14:07:46,New York,United States,Ebay.com,80578910-5312-4fd0-b9dc-29cfba47451a,Y,
23,348,Zacarías Hidalgo,6447592211669,Angels & Demons,fiction,3,9,$25.99,2021-05-03 05:20:23,mainz,Germany,Barnesandnoble.com,262e996c-8577-4d9d-b2e8-6afa5e2a6e4a,N,Card declined
24,492,Malika Rousset,9852741974369,Philosophy: Who Needs It,philosophy,2,10,$17.99,2021-09-12 12:24:55,Benin city,Nigeria,Powellsbooks.com,fd3833b6-bb2b-4368-a6ad-d5fb44a1280b,Y,
25,327,Roy Quesada,7166446595142,We the Living,fiction,2,6,$34.99,2021-12-05 10:08:12,Port Harcourt,Nigeria,Hudsonbooksellers.com,0215b320-da3a-438b-b2f1-ad219d949c92,Y,
26,300,Stella Booth,9184567088693,Ahe Manohar Tari,nonfiction,2,1,$19.99,2021-02-23 18:30:44,Birmingham,England,Kidsbooks.com,f398602a-b6fd-4e1d-a35f-beebcbfdf1c8,Y,
27,404,Ljubisa Noël,6237625425664,Theory of Everything,science,1,2,$34.99,2021-05-12 08:46:26,Osaka,Japan,Audiobooks.com,69a8f24c-5153-4eda-a4e0-cc9b0dd4b2a0,Y,
28,138,Luis Manuel Blümel,9676993002485,Jurassic Park,fiction,3,3,$34.99,2021-08-15 14:09:32,cambridge,England,Booksamillion.com,8c903481-a751-4c5f-872d-3204cff5e367,Y,
29,66,David Hentschel,7747354000258,Last Mughal,history,1,2,$40.99,2021-07-05 15:53:08,Jos,Nigeria,Audible.com,b27fa618-ff0b-4e18-a7cd-7e4836c3833f,Y,
30,157,Hernán Galindo,0099251853671,Hidden Connections,science,2,9,$30.99,2021-10-10 23:36:37,Benin city,Nigeria,Albris.com,70564828-7e4b-4765-8bbe-9e4424251d71,Y,
31,153,Inès Schäfer,2129188966446,Maugham's Collected Short Stories,fiction,2,2,$24.99,2021-02-08 14:28:41,Cordoba,Spain,Hudsonbooksellers.com,2cda111a-57af-48cb-9301-8352091052f7,N,Failed to connect to server
32,430,Margaux Borroni,4828298887549,Girl who played with Fire,fiction,2,6,$15.99,2021-02-18 06:47:28,Tampico,Mexico,Powellsbooks.com,8353b9dc-b863-4f37-b62c-c726d204db9e,Y,
33,218,Elena Camiscione,1868483396947,Image Processing & Mathematical Morphology,signal_processing,1,5,$40.99,2021-05-11 03:11:23,Leeds,England,Audible.com,5e93a12e-38e5-4db8-b97d-b8ec5425cfff,Y,
34,470,Gloria Geiger,9451744666020,Russian Journal,nonfiction,1,10,$35.99,2021-05-26 20:34:43,Uyo,Nigeria,Audiobooksnow.com,8e97c0b4-a081-464b-b75a-70f11556a67e,N,Card declined
35,413,Denis Garnier,0271427878903,Making Software,computer_science,1,4,$34.99,2021-10-19 05:17:27,Bordeaux,France,Booktopia.com,ec6df71b-3fa2-4f43-930b-d30d5d454ac2,Y,
36,50,Santiago Gaitán,4870898407610,Doctor in the Nude,fiction,2,9,$34.99,2021-07-21 13:27:55,Salamanca,Spain,Booksamillion.com,ee496815-d4ac-437e-95d5-8642a8f14cea,Y,
37,403,Margareta Solorzano,4878674238526,Death of Superman,comic,2,4,$18.99,2021-06-14 07:00:02,Dallas,United States,Albris.com,c3251b19-5160-4442-a5ce-73b886262636,Y,
38,299,Vincenzo Adams,3688712180103,Attorney,fiction,1,3,$30.99,2021-06-17 11:16:16,Bilbao,Spain,Amazon.com,8fa8f100-8e03-4ff0-b90e-c575366f6d42,Y,
39,420,Gerald Velázquez,9852741974369,Philosophy: Who Needs It,philosophy,3,1,$17.99,2021-12-17 16:40:11,Florida,United States,Thestrand.com,c0b04017-620a-4af4-a5ac-4ebf4fd7fa3f,Y,
40,103,Carolyn Kade,6546118775514,Complete Sherlock Holmes,fiction,1,8,$18.99,2021-06-04 13:11:47,Monterrey,Mexico,Thriftbooks.com,a62f2ca9-0344-4ea8-9c1a-27ab1cb94524,Y,
41,485,Humberto Borzomì,4828298887549,Girl who played with Fire,fiction,2,4,$15.99,2021-08-31 02:38:59,Frankfurt,Germany,Kidsbooks.com,0bb9fdfe-ecfd-46e1-9402-6a9cbc9a52af,Y,
